FluorCam7 Kinetics Export File
-----------------------------------
[us]	[°C]	B1	A3	C3	C2	C1	D3	D2	D1	C4	C5	C6	D4	D5	D6	B5	B6	A4	A5	A6	E1	F5	E5	E6	F1	F2	E2	E3	F3	E4	F4	B2	A1	A2	B3	B4
540060000	31.01	50.920	50.451	99.316	101.419	93.043	93.718	85.162	84.795	83.094	65.871	83.205	92.872	85.291	77.103	73.726	70.652	55.965	41.245	42.263	102.214	93.371	87.590	80.256	82.974	108.735	97.274	86.162	128.573	98.906	119.615	67.536	49.026	43.553	54.582	61.892
540100000	31.01	57.214	54.345	103.889	101.684	90.564	94.077	83.359	77.436	80.821	71.491	85.932	92.872	87.188	79.316	73.701	69.557	53.575	50.455	42.162	97.282	90.353	83.650	78.991	89.701	114.376	94.179	89.419	131.684	102.949	119.444	61.227	47.596	41.645	57.284	63.882
540140000	31.01	54.161	59.000	103.085	103.017	94.889	94.462	84.556	79.786	77.752	68.948	83.932	94.239	86.350	78.385	71.120	69.809	52.097	47.073	45.869	93.658	88.466	90.179	74.325	85.077	114.538	105.308	91.350	124.034	99.496	113.188	68.391	49.719	46.776	60.761	62.412
540180000	31.01	58.929	53.566	99.684	97.496	93.128	92.581	80.650	87.949	80.436	71.698	82.932	90.564	85.256	74.444	73.068	69.278	51.681	54.073	39.020	95.846	91.638	85.179	80.256	84.376	102.923	102.265	88.863	130.615	100.248	113.803	64.945	50.868	44.013	53.851	64.922
570020000	31.34	53.429	55.292	100.932	96.291	95.239	94.274	85.171	77.718	78.897	67.095	85.692	91.282	89.402	81.504	73.735	68.896	55.726	44.545	43.374	99.068	93.647	88.145	81.282	85.692	112.171	103.692	94.231	132.017	101.675	115.453	67.127	46.491	41.329	55.313	64.853
570060000	31.34	53.634	57.274	104.496	99.795	85.718	100.462	86.957	79.923	82.299	67.879	83.598	95.598	86.538	76.436	78.274	64.609	53.664	49.545	43.061	103.094	91.974	84.812	79.940	87.436	111.504	105.496	87.479	130.470	98.855	116.607	63.173	49.009	41.368	59.075	62.235
570100000	31.34	57.438	55.150	101.419	98.632	92.504	91.624	82.744	79.735	82.957	73.603	79.368	86.624	82.709	85.051	80.316	68.930	55.965	47.373	41.354	102.504	89.414	84.188	77.462	90.564	111.222	98.427	87.000	124.726	100.966	113.513	70.382	48.342	45.447	50.015	67.176
570140000	31.34	55.295	59.460	104.188	101.222	87.769	102.940	87.590	79.812	80.265	68.828	84.393	95.308	85.684	85.410	72.282	67.461	56.522	47.364	41.152	106.530	85.526	84.197	70.735	89.462	117.863	104.744	89.410	130.718	98.897	119.060	61.936	51.842	42.026	53.358	69.431
570180000	31.34	50.848	53.991	99.308	97.863	88.436	95.821	75.291	77.923	82.795	73.397	81.308	91.410	86.966	77.906	77.889	69.113	52.115	51.336	40.667	95.385	92.233	88.316	76.410	87.111	111.496	103.350	90.855	126.205	104.513	116.444	66.918	48.518	43.855	54.970	67.725
600020000	31.68	55.482	56.832	102.949	103.590	89.453	98.231	83.821	79.949	81.325	69.862	78.615	90.154	88.752	83.427	74.821	70.957	54.372	54.391	39.737	96.496	90.836	88.316	80.333	88.444	108.863	105.077	86.051	134.282	104.573	120.974	72.445	51.693	46.250	53.478	63.275
600060000	31.68	55.518	53.611	105.786	98.350	93.188	95.735	82.239	79.350	74.009	72.345	80.342	86.863	81.479	79.162	78.675	69.800	53.876	50.836	40.313	102.795	89.172	87.812	81.248	92.684	117.419	101.308	84.949	131.906	97.239	116.205	69.573	51.605	44.145	57.448	61.431
600100000	31.68	51.500	56.496	102.726	99.291	90.162	95.991	83.359	83.444	81.376	69.940	83.479	96.077	87.812	78.795	80.120	69.435	55.726	44.800	42.020	100.795	95.336	84.359	80.419	89.556	108.453	97.077	86.932	131.282	103.718	113.778	63.109	54.114	38.066	52.373	66.176
600140000	31.68	53.580	54.460	100.308	103.419	89.444	94.786	87.231	75.359	79.265	66.707	81.667	93.556	82.556	82.897	77.256	69.600	53.876	54.100	47.141	95.863	91.750	84.726	82.872	85.709	108.906	103.120	88.376	125.769	99.513	117.350	67.355	48.105	42.605	51.030	64.696
600180000	31.68	50.071	52.841	106.872	99.547	86.239	95.752	83.735	78.265	83.043	71.655	75.137	91.111	85.368	78.556	75.906	67.365	51.195	48.118	40.010	100.504	92.784	85.624	84.923	84.299	105.316	97.786	89.667	128.316	103.325	112.239	66.155	51.956	41.474	59.791	61.324
630020000	32.03	53.500	60.000	107.214	98.624	93.179	100.598	83.359	78.376	88.504	70.009	85.538	96.803	85.974	81.675	73.385	67.696	55.265	46.655	43.434	98.068	94.647	88.342	81.829	86.094	109.530	103.368	92.128	127.949	108.325	117.231	66.800	47.570	43.026	56.806	69.196
630060000	32.03	54.500	54.407	104.274	98.154	96.453	90.487	89.427	81.991	77.137	73.086	82.684	86.863	85.530	81.940	75.675	66.704	60.018	49.545	41.586	96.462	89.983	86.316	76.496	91.385	111.000	99.179	86.222	130.171	100.051	121.991	63.291	52.956	46.500	59.821	64.431
630100000	32.03	53.884	53.513	103.111	100.333	87.043	96.838	81.726	75.692	79.479	67.353	84.214	94.932	88.863	79.479	78.470	66.626	55.991	52.982	36.071	95.761	94.276	88.641	80.889	84.026	112.769	107.256	87.154	128.436	101.761	119.265	66.382	52.535	46.368	60.612	67.775
630140000	32.03	55.821	55.195	101.179	95.991	92.120	95.188	83.043	77.906	81.838	69.655	79.479	87.906	85.983	80.530	76.624	61.452	52.788	51.227	41.394	94.538	90.784	88.299	79.521	88.513	112.103	103.179	90.094	125.556	104.838	112.214	66.136	55.140	42.816	59.836	64.784
630180000	32.03	52.643	57.735	105.812	102.410	84.547	93.085	81.487	77.735	79.060	69.948	76.111	90.923	78.624	79.197	78.205	71.035	55.903	49.791	38.566	97.222	94.991	84.897	81.239	85.718	113.308	101.085	85.068	128.462	98.778	114.966	67.636	51.421	45.105	53.806	57.961
660020000	32.35	55.830	58.080	104.521	96.855	86.590	93.590	83.239	76.368	85.009	75.129	81.573	92.744	86.641	77.829	77.658	71.609	54.788	48.682	37.707	102.504	93.957	87.812	75.017	87.145	113.556	96.496	85.171	130.256	105.043	123.359	61.736	54.412	38.000	49.687	65.784
660060000	32.35	54.214	57.469	106.111	100.966	87.094	94.940	87.316	80.205	77.427	72.190	82.393	94.667	84.393	80.051	72.060	69.426	50.044	47.645	43.020	98.752	91.871	87.103	78.598	85.983	113.060	102.684	89.658	128.829	100.333	117.017	66.064	52.044	45.250	61.731	62.422
660100000	32.35	51.705	56.646	104.077	98.564	91.504	97.573	83.103	83.009	81.068	68.966	81.462	93.103	86.060	77.000	73.291	71.791	57.221	44.164	40.515	101.342	93.957	91.530	75.513	92.265	110.462	105.376	86.658	129.701	103.026	114.581	71.282	52.228	44.316	60.000	66.608
660140000	32.35	57.768	53.717	103.581	103.897	89.735	97.726	81.573	77.239	77.530	72.716	79.436	90.624	89.043	85.513	75.265	70.043	52.027	51.373	38.990	94.513	97.095	87.256	77.376	85.222	110.479	102.154	79.162	130.872	94.684	123.615	66.973	50.684	45.382	56.507	63.961
660180000	32.35	51.866	55.823	107.675	101.650	90.068	97.974	86.915	76.812	83.154	65.284	81.094	92.462	87.949	78.829	76.462	69.913	51.142	52.191	41.879	94.735	91.379	85.615	81.410	86.624	112.581	104.786	90.419	128.692	105.350	122.282	69.482	53.737	44.605	51.672	65.049
690020000	32.68	58.107	53.513	106.650	101.162	93.607	96.889	79.513	72.786	79.316	65.371	77.709	94.060	89.436	81.983	77.632	71.191	55.876	47.400	46.051	93.769	93.940	87.906	79.983	82.769	110.735	105.573	85.239	131.744	104.316	118.368	63.764	47.518	49.461	58.582	66.059
690060000	32.68	52.821	58.062	103.752	99.060	92.949	95.188	82.487	73.359	77.607	73.853	81.547	88.590	90.299	78.726	73.932	64.939	55.115	47.500	42.364	99.009	93.595	85.838	75.504	86.171	114.427	99.897	88.855	131.197	96.385	112.786	71.900	53.070	39.895	59.269	61.892
690100000	32.68	53.143	56.319	104.085	101.060	87.291	94.983	82.376	75.650	81.077	69.940	81.547	89.291	86.812	82.641	74.462	66.539	52.027	49.809	36.273	93.641	93.284	82.342	79.265	85.120	111.675	101.291	86.735	132.513	96.496	116.427	65.427	52.737	42.987	55.672	65.255
690140000	32.68	53.652	52.168	97.239	98.479	91.769	95.342	80.641	77.009	77.077	72.345	81.838	91.915	87.957	79.590	73.496	72.357	55.549	48.445	48.859	100.556	93.216	84.513	79.376	87.855	112.684	102.479	81.171	127.137	98.632	112.009	62.509	51.614	41.645	57.940	63.539
690180000	32.68	55.964	54.018	104.265	105.197	88.077	96.530	82.299	78.940	81.863	69.586	81.137	87.538	85.752	79.128	73.026	62.843	52.726	44.309	38.192	90.145	94.974	84.607	81.120	91.496	107.103	102.120	88.957	126.496	100.966	111.624	70.836	51.728	48.947	47.955	67.696
720020000	33.02	52.750	56.513	108.966	94.000	88.085	98.188	82.889	79.308	81.675	73.517	77.017	91.530	84.282	78.744	76.120	67.548	55.929	50.336	44.020	99.949	92.767	89.342	80.350	89.000	109.769	103.692	90.359	134.974	97.085	116.829	70.500	50.044	37.605	57.836	65.275
720060000	33.02	57.679	54.434	103.778	100.316	90.504	93.530	87.333	84.803	86.120	64.086	78.128	85.735	85.060	77.658	72.521	67.261	57.310	45.082	38.141	105.940	89.543	83.564	78.846	87.068	115.333	99.949	88.479	128.376	103.436	115.632	66.464	56.482	43.342	57.776	64.765
720100000	33.02	57.955	52.292	105.094	101.162	91.308	95.154	84.385	81.504	85.530	67.431	79.214	89.658	82.641	75.282	72.342	66.922	53.699	48.382	37.495	95.957	90.595	85.521	74.932	87.470	113.470	100.932	90.966	130.949	100.137	118.256	68.755	52.754	46.605	57.373	61.686
720140000	33.02	56.357	53.478	104.427	100.017	98.325	98.726	80.966	80.701	78.778	70.836	79.872	91.026	82.547	83.410	77.829	75.052	57.239	46.164	43.828	102.624	93.526	85.085	76.803	82.641	110.479	100.470	89.231	127.179	100.906	119.829	61.609	52.018	44.553	54.881	67.451
720180000	33.02	60.268	53.655	100.128	101.590	91.607	95.179	85.607	73.214	79.684	70.448	74.342	89.256	86.376	78.325	70.316	68.339	58.150	48.555	40.636	103.299	88.224	86.650	78.667	88.239	114.453	98.889	89.786	131.333	100.410	115.017	70.545	55.175	40.013	55.582	65.108
750020000	33.35	54.339	52.398	105.094	95.821	95.034	95.966	83.940	75.470	83.171	72.224	81.966	88.991	85.795	80.504	77.487	71.496	53.274	48.236	41.061	99.650	97.267	87.487	82.675	89.043	108.863	100.068	81.017	133.291	105.692	115.957	65.000	51.500	39.382	56.045	63.951
750060000	33.35	55.598	55.345	103.556	97.530	91.974	96.051	84.632	79.709	81.752	68.810	72.120	95.017	87.821	79.188	76.615	73.035	56.124	47.164	41.747	103.872	94.759	84.821	79.607	88.974	110.949	104.641	92.171	124.205	105.769	115.667	64.682	53.991	41.026	55.552	66.725
750100000	33.35	53.080	58.177	106.897	100.077	94.624	100.188	86.068	84.103	81.530	66.759	83.632	94.684	86.957	84.316	77.521	68.591	53.717	55.745	42.747	102.060	93.422	88.068	83.812	84.556	114.350	104.265	90.496	128.718	104.932	116.179	63.927	55.061	41.908	56.284	67.284
750140000	33.35	55.625	61.283	103.803	94.897	92.248	91.436	85.957	72.222	86.838	71.448	79.436	89.692	87.863	75.752	76.803	68.878	56.690	52.591	39.869	98.162	90.716	81.803	80.068	84.974	107.111	105.000	91.547	132.949	102.376	114.923	64.873	48.184	39.987	57.701	67.333
750180000	33.35	53.750	49.673	102.350	103.137	90.402	95.094	85.256	71.068	77.991	73.353	83.983	93.504	89.846	82.556	79.316	72.670	56.982	47.691	45.162	94.299	92.526	88.479	78.496	84.821	110.949	101.026	88.812	130.419	97.128	111.103	68.855	54.430	44.513	57.627	65.902
780020000	33.68	54.286	54.212	107.504	101.855	92.026	97.812	82.906	75.966	78.709	77.276	83.897	87.214	89.897	79.094	76.162	66.617	53.761	50.536	49.404	104.325	97.457	88.547	83.949	88.145	108.402	103.872	91.735	129.060	100.077	118.769	66.273	51.974	48.921	57.851	66.078
780060000	33.68	52.036	56.257	105.991	102.504	87.838	101.658	82.863	77.274	85.103	68.422	88.128	89.581	85.256	84.726	75.744	67.035	54.885	50.982	45.141	94.256	92.509	85.897	86.376	86.778	113.701	103.077	91.957	134.863	102.479	114.726	67.509	52.658	48.382	66.478	65.245
780100000	33.68	59.402	54.115	104.496	105.376	93.829	95.462	80.274	80.692	78.846	70.353	79.265	94.179	88.162	83.265	76.402	65.113	51.832	48.000	40.283	95.667	95.862	93.256	78.744	88.957	110.692	105.479	87.573	131.590	103.444	112.427	71.755	53.158	44.197	57.134	61.775
780140000	33.68	60.429	56.310	106.880	99.607	90.897	94.239	81.188	77.795	85.299	70.690	80.043	96.487	82.838	83.231	76.393	69.017	58.681	49.227	43.717	99.701	91.664	83.949	76.154	84.855	108.316	98.051	83.239	130.966	102.111	113.419	70.318	52.044	43.842	52.687	62.559
780180000	33.68	48.571	55.212	103.248	95.752	93.632	90.624	80.667	71.906	80.915	67.078	80.564	89.402	83.128	76.564	69.179	64.226	55.619	47.164	37.455	96.701	93.974	89.897	78.094	87.393	113.265	102.906	84.222	127.573	99.179	110.863	63.491	53.307	46.118	54.239	60.216
810020000	34.01	51.277	56.434	106.368	102.538	89.897	92.368	85.231	77.538	80.718	71.586	81.094	93.624	88.333	80.863	71.590	71.765	52.531	51.564	44.636	100.897	94.371	89.812	81.265	91.179	114.590	110.222	85.590	130.171	99.145	120.427	66.527	51.825	44.500	56.716	62.980
810060000	34.01	55.384	57.646	106.906	104.855	92.060	97.239	86.402	82.855	79.299	67.836	80.060	94.333	83.658	82.368	74.530	74.339	51.549	52.109	42.970	100.726	91.172	94.359	83.308	90.179	114.966	99.581	89.154	131.376	97.769	112.778	73.245	51.746	44.197	51.373	67.608
810100000	34.01	60.312	52.982	103.359	96.838	86.026	98.111	91.573	77.795	83.915	75.414	85.111	89.487	81.564	79.778	75.248	72.035	57.018	46.700	40.838	101.060	90.707	84.265	78.564	84.641	117.419	102.128	91.496	134.658	97.761	114.205	66.127	53.886	44.329	58.343	66.873
810140000	34.01	57.330	53.106	104.274	104.692	87.615	96.009	80.795	80.009	78.333	73.759	81.641	92.701	89.581	80.906	71.607	68.922	51.442	49.173	39.859	96.359	90.328	84.752	75.359	85.923	116.863	100.034	85.957	129.513	98.026	118.009	62.191	51.132	41.684	55.015	66.853
810180000	34.01	52.125	56.558	106.530	97.265	87.991	92.692	84.444	77.051	80.120	69.034	82.359	93.949	84.487	80.709	73.342	68.443	50.858	46.655	42.202	96.419	88.043	84.248	75.410	91.385	110.906	99.855	79.299	124.197	94.513	114.863	67.455	51.307	39.000	59.821	60.412
840020000	34.34	53.652	53.398	106.068	94.744	88.726	101.308	84.060	74.333	82.761	72.586	81.368	96.504	88.427	79.581	77.103	69.357	57.912	53.109	43.990	96.957	99.000	84.803	77.094	85.872	116.667	104.256	85.812	136.256	103.154	121.573	65.709	51.860	37.289	52.567	68.775
840060000	34.34	56.795	61.425	102.838	103.444	96.863	95.590	87.342	75.923	78.915	67.784	84.350	95.179	93.009	74.470	78.034	71.339	53.912	52.464	42.212	96.607	94.698	86.752	77.231	86.846	117.197	100.316	83.376	132.017	105.333	114.402	66.564	52.956	42.158	48.373	68.431
840100000	34.34	61.089	59.584	107.786	95.667	91.487	98.744	83.709	76.316	78.991	70.147	79.034	95.966	81.487	76.085	73.761	67.974	56.752	51.882	43.505	99.684	93.233	89.000	75.573	87.598	106.718	105.744	85.556	130.214	104.641	115.667	63.482	49.096	45.684	63.567	66.196
840140000	34.35	59.179	56.009	104.803	103.906	89.701	98.932	84.547	75.188	80.530	74.284	77.265	89.530	83.991	76.829	72.026	71.026	54.513	50.209	42.495	97.650	95.509	90.137	75.863	87.316	106.171	100.385	83.068	132.991	96.231	119.342	62.736	53.482	41.500	58.328	66.882
840180000	34.35	54.830	53.522	101.966	95.632	89.803	92.590	84.838	75.538	85.556	70.560	76.726	93.368	82.581	75.496	74.803	67.635	56.177	48.118	38.949	99.436	95.888	83.385	77.060	85.880	110.470	97.274	82.342	128.179	97.436	111.701	67.945	50.421	40.961	55.433	66.314
870020000	34.68	52.143	54.619	104.197	97.641	90.487	96.291	84.427	78.043	81.350	70.284	76.838	92.752	85.128	79.513	72.880	71.087	55.239	48.155	38.919	94.709	94.078	86.718	77.145	95.932	109.282	105.632	85.795	132.359	104.128	120.453	68.682	50.763	45.329	57.403	64.402
870060000	34.68	53.223	52.637	103.393	105.060	97.111	98.368	76.846	80.274	78.496	66.552	81.496	93.274	86.291	81.128	74.487	77.278	59.929	52.945	37.646	101.906	94.595	89.120	83.094	85.940	106.684	101.342	87.974	130.248	99.812	121.051	66.445	50.956	41.289	56.746	59.745
870100000	34.68	48.562	55.726	101.274	98.325	87.145	97.077	85.179	75.974	81.556	72.853	78.932	89.803	87.632	79.538	79.667	73.304	56.133	49.109	41.515	87.641	93.914	87.350	74.000	89.368	110.803	103.590	85.650	125.863	96.538	113.462	68.127	53.228	42.697	58.791	66.441
870140000	34.68	55.277	55.354	105.325	98.598	96.410	95.906	84.974	79.692	82.667	68.052	80.419	97.120	84.915	83.547	72.855	72.104	58.478	47.918	41.354	101.744	92.190	85.598	74.684	87.282	115.239	93.846	87.197	125.906	102.462	122.154	65.382	49.088	42.447	57.045	68.176
870180000	34.68	53.080	50.814	107.615	101.111	96.470	95.872	79.333	73.239	78.513	63.543	81.650	91.709	84.060	81.872	75.504	69.322	56.920	48.891	43.818	98.564	93.319	87.641	79.897	88.453	112.496	102.496	85.043	125.496	103.068	115.675	65.164	54.158	38.605	57.537	67.833
900020000	35.02	55.188	59.947	104.051	103.444	92.521	96.376	81.427	77.034	81.949	68.888	81.359	97.957	85.718	79.479	77.974	69.930	55.407	47.727	42.323	99.838	93.698	86.470	79.308	82.667	114.111	99.402	89.761	131.350	102.017	120.453	61.400	51.202	38.513	61.567	69.814
900060000	35.02	50.768	61.000	102.718	96.026	87.530	102.889	83.735	74.547	78.462	70.440	77.111	90.991	84.034	79.350	72.154	68.313	54.053	55.455	39.919	99.880	88.095	83.111	82.641	84.068	109.581	98.325	84.410	130.880	101.325	118.496	68.782	50.623	43.316	56.507	71.304
900100000	35.02	52.491	54.690	108.026	100.641	90.487	98.667	81.590	74.547	81.145	71.690	78.214	94.718	85.197	73.803	78.000	74.365	52.009	49.955	37.859	95.316	93.310	90.274	78.496	87.872	107.761	100.863	90.214	127.487	99.368	113.248	67.900	49.711	49.842	53.955	74.049
900140000	35.02	54.562	53.628	103.641	98.615	91.222	97.402	87.265	76.487	84.410	74.017	82.632	91.701	83.197	81.376	77.735	69.261	60.159	48.500	41.030	102.205	90.690	88.427	75.009	87.838	113.462	102.880	83.333	124.068	102.009	114.573	65.455	53.272	45.237	52.060	63.000
900180000	35.02	50.241	57.690	100.017	101.598	86.145	96.641	82.282	77.632	77.615	71.112	80.103	89.966	91.590	75.983	71.991	71.774	57.991	46.882	41.838	96.068	90.534	84.051	80.521	85.846	112.085	99.538	91.761	133.966	99.709	116.436	61.800	54.693	43.408	60.567	65.873
930020000	35.34	54.518	57.212	105.547	97.393	94.043	96.436	87.197	78.538	83.462	71.302	85.718	92.179	88.949	85.530	80.521	76.104	53.991	50.464	43.828	99.974	90.172	90.342	78.051	90.752	112.949	99.000	89.094	131.308	106.282	121.752	64.164	53.140	38.092	60.493	69.029
930060000	35.34	54.643	55.850	101.513	96.427	93.248	96.667	82.513	79.786	82.051	66.897	81.402	91.846	84.043	81.872	71.667	69.687	49.628	49.891	38.646	103.103	95.000	85.026	80.692	87.598	118.863	99.752	89.889	133.188	102.547	120.581	73.300	52.895	45.697	62.925	68.010
930100000	35.35	59.232	56.920	108.692	104.248	90.803	92.667	84.880	83.231	82.906	71.621	78.436	92.650	84.880	79.726	75.051	67.835	57.867	47.809	43.000	100.009	97.578	90.581	80.855	90.573	113.410	104.325	81.906	130.624	96.889	118.111	65.782	53.219	46.539	58.313	67.814
930140000	35.35	55.054	58.451	105.880	103.376	93.726	97.034	85.632	74.838	79.872	70.991	82.470	94.026	83.880	81.111	73.778	69.878	49.965	51.218	38.717	94.880	89.026	87.821	74.880	87.692	107.957	102.624	82.068	129.094	101.829	115.974	65.718	52.421	42.000	55.030	67.902
930180000	35.35	53.518	51.451	103.265	95.632	91.077	94.521	84.299	76.538	80.632	69.793	81.060	88.641	92.231	80.556	75.120	68.443	54.867	46.155	40.465	98.214	94.129	85.487	78.692	83.940	110.556	103.513	89.026	131.205	100.479	114.624	68.536	52.833	42.355	51.000	66.775
960020000	35.68	54.277	61.044	105.444	96.154	85.803	100.701	83.684	76.436	82.145	68.698	77.573	97.325	85.009	77.855	75.624	68.096	53.973	52.745	42.778	101.590	96.379	87.991	79.179	84.966	112.829	99.863	87.530	131.598	105.564	117.966	65.927	49.860	41.987	67.567	70.608
960060000	35.68	55.161	57.956	105.479	95.462	96.077	99.017	86.274	75.316	83.632	67.897	80.752	97.744	83.487	77.470	74.615	71.922	57.239	47.691	45.960	102.197	92.422	83.889	74.940	85.299	112.744	98.675	86.880	128.778	101.897	113.171	66.209	51.930	42.079	56.448	71.882
960100000	35.68	54.616	57.726	105.427	98.325	89.530	100.769	78.991	75.821	83.205	72.793	81.957	95.222	91.573	78.863	76.034	71.070	56.177	52.500	46.222	96.376	93.052	86.932	67.932	94.085	119.923	100.333	87.470	133.145	107.188	114.479	65.536	51.351	42.289	50.731	62.804
960140000	35.68	53.527	57.912	100.778	99.991	88.564	92.632	77.701	72.248	78.444	69.121	81.966	88.017	85.214	78.316	75.906	68.496	58.009	51.918	44.374	99.120	92.862	90.949	74.974	83.137	112.291	100.718	83.239	133.350	104.761	116.615	67.391	53.263	42.053	52.269	63.676
960180000	35.68	51.652	54.531	104.872	101.658	87.239	97.556	82.256	73.615	81.265	65.414	77.701	90.462	82.838	82.769	73.368	67.435	58.699	50.382	42.960	96.325	93.103	83.000	75.675	82.667	110.983	99.017	83.957	131.769	98.795	116.744	70.909	51.904	44.763	54.597	62.676
990020000	36.02	53.250	49.239	103.752	96.205	86.641	105.145	86.333	78.197	82.624	75.345	87.197	95.880	87.564	82.316	79.248	66.861	55.779	48.745	40.051	96.077	94.422	88.726	82.060	86.120	108.855	103.889	85.128	126.154	102.872	118.940	70.709	55.930	44.368	56.597	63.539
990060000	36.02	56.000	56.257	103.923	103.590	89.470	97.872	82.248	77.795	80.479	72.155	80.051	94.410	82.906	78.667	73.103	63.270	59.168	50.564	47.081	99.667	95.198	88.188	77.521	85.291	114.282	103.436	82.701	132.051	102.504	120.496	68.273	56.614	44.908	59.328	63.559
990100000	36.02	55.661	53.850	101.991	95.513	82.393	95.940	84.282	78.402	81.496	79.362	79.085	96.769	80.701	79.940	75.026	64.687	58.274	53.027	40.192	95.812	95.138	86.470	73.043	84.026	116.915	99.462	86.538	128.624	100.094	116.709	69.182	46.228	41.895	56.493	70.667
990140000	36.02	58.911	55.743	103.632	96.991	87.513	97.171	84.821	80.171	83.350	72.069	78.650	97.983	89.197	77.923	78.744	65.165	55.425	50.482	39.232	97.017	91.638	87.718	81.299	86.496	111.248	103.915	79.684	126.043	104.521	114.094	66.291	50.623	47.289	56.388	66.402
990180000	36.02	50.661	53.982	99.949	97.034	86.624	100.085	81.299	77.923	80.316	71.483	79.538	87.479	86.607	77.171	74.872	66.191	54.009	51.755	34.071	93.513	95.078	87.171	81.162	84.470	114.795	102.103	84.470	126.282	98.932	117.436	63.645	53.219	45.013	54.463	58.676
1020020000	36.34	57.759	59.372	101.103	95.453	89.094	97.675	86.188	78.462	81.350	68.948	81.128	92.821	86.308	79.556	78.000	71.113	55.319	48.727	40.545	92.051	90.078	92.957	77.974	87.402	111.863	108.803	81.564	127.752	101.607	115.325	61.273	53.667	48.526	52.448	68.745
1020060000	36.34	55.607	56.345	101.538	99.752	87.846	99.769	80.786	79.265	82.368	70.009	77.274	89.120	85.325	75.598	74.547	66.078	52.106	50.473	37.374	96.137	93.155	88.462	75.752	89.761	116.744	100.487	80.692	134.846	99.513	114.350	64.464	55.219	39.395	57.776	68.186
1020100000	36.35	50.795	62.195	103.231	100.650	91.504	96.829	83.769	77.709	82.590	74.534	78.496	97.222	86.470	80.658	77.940	65.226	52.973	48.382	41.394	101.538	92.138	88.607	74.103	84.778	114.120	101.462	89.436	138.419	99.521	115.385	67.700	53.833	45.711	62.328	63.765
1020140000	36.35	54.795	56.230	106.521	105.009	90.068	97.957	89.726	74.308	78.359	69.147	81.111	94.333	86.436	82.915	75.556	74.861	52.841	54.300	42.162	99.402	92.336	83.752	77.812	85.308	114.607	104.487	83.342	131.855	99.752	119.752	67.118	56.175	50.553	57.373	66.392
1020180000	36.35	51.750	55.814	102.838	98.915	87.239	97.256	81.667	75.880	81.162	66.828	82.419	94.701	79.821	79.043	70.769	66.426	52.796	49.982	37.828	101.547	90.043	87.932	75.829	85.761	119.282	97.538	81.128	129.043	100.017	115.325	64.564	49.465	52.066	52.836	65.716
1050020000	36.67	59.446	54.566	105.496	97.547	91.632	97.291	81.846	78.872	85.299	73.302	82.838	90.692	86.966	77.051	73.598	67.513	52.115	48.145	46.121	96.675	92.457	91.838	83.094	87.265	108.974	107.564	84.513	130.838	102.427	111.026	72.082	54.377	43.539	56.045	64.255
1050060000	36.68	55.027	54.690	104.923	98.974	89.342	96.034	85.282	77.906	78.376	69.991	81.949	90.829	86.368	81.829	74.479	68.235	56.531	49.918	44.010	97.103	91.379	89.504	76.803	88.205	113.060	102.932	87.436	132.778	103.880	112.598	68.855	55.640	47.803	60.836	64.951
1050100000	36.68	51.571	53.912	108.197	99.214	93.692	93.607	81.932	72.761	81.872	69.983	80.872	95.282	86.325	78.530	75.556	70.226	54.212	52.073	47.010	92.419	90.534	87.291	75.274	86.171	115.786	100.308	86.137	132.803	108.154	119.957	68.373	57.474	41.947	62.403	69.402
1050140000	36.68	50.634	53.212	100.436	97.675	92.650	97.179	88.034	75.085	82.325	70.345	83.795	93.761	81.821	82.256	78.573	72.339	53.929	52.564	45.141	97.239	92.595	85.718	77.205	86.462	110.359	102.162	82.060	129.538	102.085	113.214	67.800	57.482	39.013	56.209	64.618
1050180000	36.68	51.321	54.398	100.513	99.171	85.889	100.778	84.436	72.718	81.179	72.328	76.949	95.598	86.333	79.504	70.496	69.939	53.159	49.955	42.657	97.692	92.181	85.598	73.855	83.829	111.026	104.650	88.376	127.872	102.325	115.205	70.655	53.246	43.118	53.970	67.451
1080020000	37.01	55.018	52.460	109.051	99.726	92.333	94.513	85.726	78.359	81.709	71.336	75.983	93.846	90.470	81.829	77.906	70.374	56.080	51.445	42.111	97.504	94.750	87.513	80.598	90.444	113.376	104.137	83.744	128.983	108.521	118.504	72.327	56.877	41.421	55.642	66.392
1080060000	37.01	56.580	54.743	104.282	102.265	89.872	97.778	79.632	73.556	80.256	70.560	77.487	93.667	87.444	81.256	76.034	68.365	56.496	53.618	42.424	97.179	93.379	89.068	81.957	86.120	114.744	103.009	85.051	129.308	102.726	117.906	67.336	53.965	43.526	62.269	71.078
1080100000	37.01	63.438	55.398	104.197	97.487	90.675	95.932	79.017	76.427	84.068	67.147	77.812	96.556	87.966	77.778	75.222	72.348	59.867	53.200	38.283	95.957	97.216	82.179	70.479	90.299	111.316	101.650	85.983	127.179	99.932	115.701	67.764	51.728	43.895	61.522	66.941
1080140000	37.01	53.312	53.035	102.632	101.624	88.214	93.744	80.846	75.991	73.735	70.750	79.197	92.368	84.325	75.444	73.701	68.261	49.336	48.591	42.354	95.709	87.828	87.256	81.436	88.094	114.291	99.274	81.402	134.838	96.427	114.521	67.264	52.360	43.105	56.388	66.588
