FluorCam7 Kinetics Export File
-----------------------------------
[us]	[°C]	B1	A3	C3	C2	C1	D3	D2	D1	C4	C5	C6	D4	D5	D6	B5	B6	A4	A5	A6	E1	F5	E5	E6	F1	F2	E2	E3	F3	E4	F4	B2	A1	A2	B3	B4
120020000	26.35	66.643	62.124	129.838	123.624	102.085	98.521	93.504	97.350	93.513	88.345	93.573	112.197	109.949	91.564	96.299	87.191	59.407	60.773	50.505	112.034	115.466	100.120	94.863	106.838	128.291	120.051	102.308	138.974	113.393	142.000	86.618	63.632	56.158	67.687	83.441
120060000	26.35	65.393	65.841	126.214	119.162	108.171	101.812	96.940	93.359	87.778	82.698	87.043	107.137	102.709	90.778	95.701	89.774	65.681	63.845	51.586	118.145	110.586	92.855	97.718	106.701	127.684	124.325	102.256	138.094	124.479	138.017	88.436	61.746	53.171	72.612	78.637
120100000	26.35	67.330	59.832	126.735	120.949	108.923	99.855	97.650	93.991	89.479	84.095	91.709	107.735	98.453	89.051	94.051	87.209	57.230	58.209	47.798	107.462	106.698	102.496	93.085	104.214	128.256	118.496	101.410	142.487	118.709	138.564	89.736	60.518	57.618	65.239	79.029
120140000	26.35	61.241	65.593	127.162	120.786	107.889	96.812	96.675	90.009	90.538	91.112	91.214	108.632	97.419	92.504	92.487	86.809	61.699	58.382	52.576	114.615	112.121	101.547	95.744	108.299	125.966	122.641	101.094	138.846	112.547	134.863	83.882	64.711	59.224	67.015	83.157
120180000	26.35	60.982	63.991	119.436	120.795	106.487	97.632	91.889	97.735	95.675	88.000	92.231	112.803	103.111	90.316	93.821	87.426	70.195	59.491	52.838	111.231	106.560	96.444	96.496	101.915	127.342	115.983	99.897	134.103	116.667	133.684	83.045	65.307	52.987	73.910	79.216
150020000	26.67	64.134	67.947	120.701	115.735	103.504	95.402	94.128	91.436	91.855	83.017	94.265	105.496	97.162	86.863	91.419	87.722	66.743	53.009	50.596	112.051	108.784	93.735	91.795	102.880	128.949	115.120	99.880	137.316	112.974	134.897	86.473	62.316	50.855	70.478	78.549
150060000	26.68	62.759	59.097	119.590	116.966	106.487	93.675	93.214	88.761	92.479	78.491	88.017	107.838	96.590	87.077	88.949	84.991	61.584	56.227	49.606	104.761	106.069	95.915	89.590	105.530	123.316	121.393	100.821	138.444	119.171	130.291	84.791	58.930	58.145	67.716	73.549
150100000	26.68	59.929	65.566	117.453	117.607	104.256	97.581	90.718	87.342	90.316	82.638	93.462	104.573	99.453	90.291	89.778	85.791	60.841	53.382	50.263	105.692	107.776	96.111	96.009	102.162	124.017	119.103	99.504	136.342	114.615	138.983	85.518	59.509	56.776	81.925	76.108
150140000	26.68	67.688	67.018	119.504	112.316	105.983	93.744	94.291	88.274	88.915	80.819	92.573	108.744	94.889	83.855	91.162	83.600	61.310	56.545	53.707	106.214	102.052	90.863	89.504	106.410	125.504	112.684	97.376	134.282	117.915	135.769	85.200	60.412	56.763	68.343	72.990
150180000	26.68	64.509	64.212	123.906	121.761	100.291	93.564	91.846	90.137	85.111	87.853	92.863	102.085	97.171	85.624	88.658	88.409	65.319	57.455	55.879	108.171	106.776	95.829	89.650	99.368	131.017	119.231	95.735	136.145	116.479	131.017	90.673	60.351	59.039	77.627	72.686
180020000	27.01	64.080	65.504	116.462	116.043	103.009	100.137	91.479	88.658	88.265	83.707	88.256	105.120	98.769	87.256	88.863	81.530	63.009	56.509	49.010	109.812	106.224	95.205	92.949	104.974	124.154	109.846	97.949	132.077	113.333	138.214	84.391	50.851	54.000	58.119	72.216
180060000	27.01	61.438	64.814	119.103	114.350	101.162	98.359	89.274	90.128	83.752	78.431	96.231	104.393	96.829	84.034	95.222	82.470	60.938	52.036	48.000	112.111	107.733	90.462	87.162	104.085	124.564	111.906	96.744	136.239	117.812	129.291	86.200	61.000	51.671	67.104	77.353
180100000	27.01	57.250	65.681	118.171	114.932	103.145	90.590	90.786	89.829	85.128	79.931	90.897	99.915	99.889	90.060	87.675	79.957	56.823	55.336	46.980	106.906	104.000	91.393	91.043	97.846	129.291	116.308	93.231	134.376	111.222	131.094	85.391	58.798	58.684	69.716	71.794
180140000	27.01	62.125	62.407	117.068	117.128	100.615	95.427	90.256	88.128	86.513	77.060	90.171	100.034	92.547	90.179	88.308	84.365	59.035	55.055	52.283	109.342	106.422	93.650	94.171	103.897	128.034	114.265	94.402	134.821	109.667	133.786	84.727	56.491	52.395	65.060	73.147
180180000	27.01	63.795	61.292	119.692	117.761	98.162	91.974	93.077	85.487	85.368	84.388	87.000	101.880	96.598	84.650	87.906	83.435	63.372	51.400	53.121	107.179	103.948	93.521	85.846	104.658	126.402	113.094	96.000	132.769	107.761	130.197	85.864	60.632	48.816	68.507	70.931
210020000	27.34	57.821	66.265	115.812	109.179	94.641	94.974	88.145	88.915	84.949	82.009	86.983	101.496	92.906	86.350	88.137	79.687	62.522	55.364	52.131	106.667	107.647	92.547	88.188	101.034	128.590	107.248	95.060	132.675	111.786	133.427	75.509	55.026	53.855	64.015	69.784
210060000	27.34	55.446	63.664	119.726	111.197	101.821	92.949	87.923	84.897	82.923	74.819	86.265	99.444	92.444	82.419	81.940	86.704	59.027	56.318	51.485	99.957	97.647	94.197	90.205	100.316	126.009	117.658	98.077	133.368	114.564	128.265	77.855	55.632	48.382	62.030	71.098
210100000	27.34	60.232	60.540	110.043	107.316	95.402	94.624	90.060	85.983	82.838	81.586	91.897	104.530	91.145	85.607	83.410	84.591	60.637	52.873	51.364	103.573	101.457	88.342	87.709	98.974	117.966	114.137	95.607	131.983	112.675	133.658	78.873	57.570	46.066	62.299	70.284
210140000	27.34	56.821	61.566	114.991	108.410	96.034	96.060	87.692	85.521	79.077	75.905	87.427	102.598	90.556	88.949	84.359	79.574	58.168	53.191	50.394	106.769	105.629	89.726	87.615	106.453	118.385	112.043	90.778	128.273	109.752	128.325	74.309	61.816	52.342	58.955	69.020
210180000	27.34	56.464	60.248	114.034	112.684	103.410	92.171	89.538	90.564	82.068	79.284	88.667	96.265	95.239	89.350	86.889	81.304	59.292	52.655	48.141	104.222	102.603	91.137	93.282	100.641	120.530	114.923	89.188	131.410	111.915	130.350	81.318	58.465	46.855	56.045	71.137
240020000	27.67	52.875	62.637	115.667	111.889	103.932	91.872	91.983	87.222	82.821	78.888	87.419	101.000	96.470	88.581	83.274	84.852	64.487	53.882	47.061	110.077	109.603	94.752	84.325	97.231	121.889	111.786	87.675	137.803	109.017	125.983	80.718	55.333	51.211	60.910	69.176
240060000	27.67	57.491	59.186	113.957	111.598	101.265	91.077	89.009	89.966	81.940	72.966	94.068	101.171	88.812	83.222	83.726	82.496	60.460	51.155	48.677	102.863	102.862	85.137	81.214	98.051	120.983	109.573	93.068	131.085	107.077	129.410	75.836	53.553	50.592	56.134	70.804
240100000	27.67	56.420	59.389	109.983	105.769	94.231	95.402	82.855	81.265	80.564	78.526	83.761	97.316	92.983	80.624	81.393	80.922	61.478	52.000	42.141	94.624	98.345	84.769	87.231	98.991	125.812	106.162	91.291	131.513	112.103	134.453	80.127	54.921	46.316	59.328	67.794
240140000	27.67	50.223	64.513	104.410	108.974	99.983	90.521	87.239	78.786	85.607	78.121	86.419	100.496	91.641	80.701	87.650	80.574	57.752	53.036	47.202	101.504	99.310	91.684	87.547	98.436	116.205	109.376	95.581	127.923	105.940	124.684	76.836	56.956	49.461	57.015	68.618
240180000	27.67	54.500	55.062	109.453	105.368	97.470	91.094	84.521	85.444	83.744	72.871	84.829	95.128	98.103	91.077	81.812	76.035	62.434	59.018	50.566	106.000	99.828	85.128	82.436	98.342	121.444	106.556	92.487	128.564	107.085	122.111	78.582	50.035	50.000	56.507	68.343
270020000	28.00	57.679	61.761	118.179	102.222	99.179	93.803	88.342	84.094	85.632	72.043	93.752	99.402	93.991	82.043	80.923	77.591	61.513	48.618	46.606	102.427	99.466	91.359	88.359	96.863	118.026	104.684	86.906	134.581	113.231	121.906	78.764	48.754	50.118	53.940	70.500
270060000	28.00	56.545	56.018	108.581	106.265	94.462	88.333	83.615	82.812	84.308	76.112	91.017	98.402	96.214	88.897	82.880	80.870	60.442	48.291	48.828	98.094	99.181	88.581	85.393	99.026	122.043	106.333	85.667	129.051	104.624	121.573	75.945	55.895	54.461	61.358	73.549
270100000	28.00	57.830	54.823	111.726	101.752	96.479	95.949	86.026	80.966	81.752	76.828	84.162	94.897	91.889	79.256	83.521	72.835	55.168	50.400	47.020	109.051	95.897	91.214	85.744	95.667	118.051	104.949	86.752	124.684	102.436	127.137	78.118	54.965	56.789	54.955	67.059
270140000	28.00	58.562	54.611	109.598	106.692	97.581	88.684	84.282	74.957	85.991	77.190	89.709	99.419	91.111	81.778	86.846	81.504	60.336	51.436	49.404	100.667	99.345	92.325	83.462	99.171	119.701	105.043	92.402	132.282	111.171	126.043	79.173	54.439	56.316	58.090	70.843
270180000	28.01	58.170	58.602	110.855	109.231	99.889	91.043	85.803	88.786	83.769	76.491	85.308	101.419	90.274	88.855	76.291	79.026	60.522	56.073	42.485	102.128	100.983	91.496	86.957	99.538	115.821	105.846	91.299	129.624	112.205	124.291	73.845	56.570	56.421	60.597	74.108
300020000	28.33	52.071	58.912	112.154	109.368	93.983	92.923	86.641	79.410	83.641	77.345	86.000	95.282	88.504	82.983	82.829	73.557	54.646	51.218	43.051	101.419	96.483	86.436	88.957	95.214	121.009	104.496	85.880	126.880	110.641	122.000	74.955	51.035	50.197	69.970	65.980
300060000	28.33	55.134	53.779	112.060	104.103	99.316	87.402	85.376	81.880	79.128	77.983	83.821	95.667	86.615	83.171	75.598	74.687	56.894	49.918	43.869	96.974	100.767	88.590	82.350	92.496	117.410	103.496	88.308	126.581	101.812	115.726	77.327	56.368	49.434	53.881	66.020
300100000	28.33	52.964	60.345	109.726	101.103	91.470	89.368	88.453	81.761	79.598	72.690	84.701	98.350	92.368	78.735	78.675	74.130	55.938	52.455	43.081	101.188	96.129	86.385	84.077	90.359	116.829	106.333	90.872	133.923	102.701	122.692	72.445	48.614	50.342	58.612	69.598
300140000	28.33	55.464	54.699	108.291	104.103	95.863	90.615	85.342	77.863	76.590	69.578	85.846	94.726	89.889	89.068	81.214	75.209	58.584	48.191	42.838	105.197	99.595	90.120	82.333	93.034	116.709	103.838	86.932	125.017	106.419	120.000	76.564	47.368	49.697	51.955	68.343
300180000	28.33	52.562	59.062	106.855	100.778	94.709	92.889	85.923	81.342	80.786	76.802	84.444	92.581	92.812	83.889	87.248	74.383	55.442	47.273	47.101	103.624	100.802	96.162	81.786	93.632	114.675	106.453	90.325	128.581	102.812	121.068	72.973	53.421	45.382	55.090	63.951
330020000	28.67	53.554	55.761	107.880	106.094	96.812	92.265	86.034	81.470	78.222	74.690	86.179	94.872	92.735	82.744	79.675	71.922	60.159	51.664	47.313	100.684	97.440	82.983	81.940	94.402	116.171	104.496	91.504	124.932	104.111	125.684	71.991	46.939	50.921	61.090	63.765
330060000	28.67	59.098	56.566	104.863	102.376	98.709	90.179	83.291	84.419	80.444	75.767	81.342	96.709	92.462	81.821	76.504	72.957	57.531	54.082	37.131	100.179	95.707	85.137	83.812	97.000	112.786	108.410	89.675	125.256	103.103	120.915	69.845	49.921	47.579	58.493	64.363
330100000	28.67	56.062	62.531	107.333	107.239	96.162	91.684	83.453	79.359	84.889	74.448	91.043	98.718	87.188	86.675	80.137	71.522	57.965	51.782	44.525	105.256	98.138	85.983	82.692	90.000	116.385	104.368	85.735	129.043	101.521	121.197	72.491	53.877	46.316	58.209	65.618
330140000	28.67	54.473	52.142	104.761	107.803	98.265	92.128	84.650	83.675	80.744	76.319	89.650	97.761	86.248	81.350	74.496	71.339	51.133	54.482	41.212	101.590	94.121	89.521	87.915	89.692	113.701	104.547	83.291	126.880	102.803	118.923	70.655	55.623	48.921	53.687	67.412
330180000	28.67	54.518	59.239	111.077	100.487	94.496	86.821	80.538	85.915	78.846	72.250	84.009	96.581	83.658	85.137	77.513	76.635	56.796	51.255	43.283	101.923	98.319	86.239	81.368	90.786	108.803	104.863	87.709	124.786	103.248	117.521	72.282	54.798	44.645	52.687	63.853
360020000	29.00	55.473	54.336	109.838	103.487	96.581	97.880	80.538	79.479	84.325	70.690	84.410	98.966	91.812	81.342	79.291	71.722	61.248	55.882	41.051	103.803	98.759	83.667	82.017	91.299	111.769	100.282	90.026	131.197	103.949	118.368	71.800	51.360	43.816	55.090	64.559
360060000	29.00	55.491	57.938	111.487	102.453	96.402	97.752	82.821	80.624	85.017	73.164	87.889	90.393	86.248	82.393	81.368	73.678	54.779	49.209	46.556	103.880	94.397	88.368	78.427	94.077	115.726	104.803	92.752	129.872	103.427	123.060	73.264	53.105	43.487	68.627	64.382
360100000	29.00	44.143	53.186	110.402	97.393	86.547	90.667	84.376	79.803	78.316	77.388	82.692	94.034	84.607	79.188	76.726	69.696	56.204	54.400	44.626	95.282	96.181	84.103	81.487	88.462	113.487	105.863	91.547	126.778	104.752	121.274	68.436	47.491	48.763	54.851	67.422
360140000	29.00	56.438	60.451	111.060	99.650	93.701	93.573	81.530	77.239	81.333	72.750	83.897	94.803	90.068	81.026	76.829	72.826	57.743	49.718	44.677	106.145	94.483	85.624	80.051	93.393	115.778	105.821	83.368	127.615	103.915	120.966	66.509	46.632	48.461	59.403	66.735
360180000	29.00	54.161	55.239	107.487	102.504	93.991	95.282	83.632	74.778	75.991	72.448	85.427	96.350	90.017	75.427	79.607	70.183	58.336	48.282	40.687	97.222	90.034	87.846	76.427	90.094	110.179	99.538	88.906	127.444	102.068	120.504	71.500	53.561	45.789	59.582	62.980
390020000	29.34	54.866	54.018	110.530	99.556	97.675	94.085	81.940	81.829	78.009	74.603	83.846	91.530	91.462	80.641	83.906	72.800	53.469	52.827	41.626	102.137	93.164	89.983	83.068	92.026	116.256	111.752	87.915	131.120	97.641	118.675	75.036	50.149	48.355	59.463	66.824
390060000	29.34	53.232	52.062	100.333	100.436	94.983	93.436	79.675	80.154	76.949	73.431	84.573	92.453	92.436	80.991	76.547	73.348	53.841	53.664	48.121	96.923	92.914	91.590	80.308	91.769	113.615	103.769	91.410	131.308	99.786	117.231	68.436	49.272	49.171	57.090	66.431
390100000	29.34	58.625	56.717	104.564	103.393	95.436	94.299	80.162	82.556	77.462	70.483	84.846	87.641	87.350	80.248	76.188	70.348	52.788	51.218	43.091	95.880	91.034	89.675	80.291	94.256	111.205	100.846	87.462	126.179	100.821	115.479	68.927	58.237	46.132	54.821	58.147
390140000	29.34	52.036	55.442	106.120	97.111	90.675	93.650	82.513	76.393	85.128	69.267	78.521	98.564	86.333	79.487	78.880	75.713	55.354	52.227	43.111	101.274	94.345	84.214	84.248	91.735	112.436	101.103	87.923	129.214	100.350	119.607	68.718	51.447	44.237	57.493	61.980
390180000	29.34	55.643	57.558	101.085	99.744	88.179	88.650	80.051	79.419	82.607	70.319	83.556	94.154	79.120	81.547	76.333	70.452	53.850	48.127	44.687	102.051	91.888	82.376	76.171	87.128	110.120	102.915	90.650	129.863	106.991	121.077	69.145	51.105	47.579	50.463	67.745
420020000	29.67	52.884	57.522	106.991	100.949	91.957	95.897	86.385	76.923	82.991	72.500	83.752	95.521	90.538	82.889	77.949	70.383	52.168	52.082	43.798	101.444	93.241	88.068	82.308	91.906	111.222	100.470	89.128	131.795	101.752	117.325	65.782	47.395	51.171	50.940	66.578
420060000	29.67	51.812	53.894	109.282	98.974	91.128	90.709	82.299	77.598	78.009	70.207	86.453	93.957	86.034	80.906	81.479	72.791	56.000	50.118	41.485	99.316	90.672	86.675	82.607	84.752	108.872	99.974	86.803	126.709	102.581	118.342	66.755	48.982	42.000	58.507	62.137
420100000	29.67	52.902	55.593	105.846	100.385	92.453	94.436	80.718	75.051	83.103	76.000	84.957	89.547	86.880	84.368	77.350	73.365	62.664	47.545	40.970	99.487	91.164	82.376	81.205	86.641	111.239	102.615	82.068	129.701	97.274	118.906	67.109	44.342	47.566	50.343	71.422
420140000	29.67	53.491	52.885	103.171	98.026	87.675	92.641	78.897	76.564	81.940	77.431	82.453	91.094	88.162	82.436	78.641	70.313	53.425	52.591	43.657	96.231	93.629	86.556	79.547	86.094	109.137	102.675	85.624	129.162	109.179	117.265	67.209	48.298	43.816	53.687	61.853
420180000	29.67	55.339	55.398	103.829	98.462	91.333	92.966	84.812	81.145	80.274	72.336	76.333	94.274	83.897	76.316	78.017	68.557	56.655	49.291	40.687	96.692	92.353	86.256	78.470	83.504	112.966	103.650	86.009	123.795	101.692	117.769	67.036	53.167	44.013	56.284	61.500
450020000	30.00	55.768	57.009	103.829	98.675	90.239	96.231	79.214	78.410	86.111	71.759	85.812	95.966	89.274	85.410	77.915	67.896	56.062	49.709	43.131	102.239	92.991	82.538	79.966	84.085	114.248	99.598	87.462	133.880	98.709	119.034	68.109	50.614	50.013	57.672	62.451
450060000	30.00	51.286	57.389	108.282	99.427	91.590	96.769	79.530	78.607	78.590	72.871	86.017	93.000	87.795	84.402	75.496	75.461	50.602	53.027	46.465	101.803	92.328	86.504	81.222	83.350	105.598	99.658	89.641	132.462	102.325	117.222	67.364	48.167	41.447	59.209	68.108
450100000	30.00	50.830	57.088	106.744	97.188	99.427	94.897	81.581	83.017	78.607	74.638	84.735	93.051	88.077	83.863	77.291	75.878	53.150	47.755	43.253	100.453	87.431	87.034	77.795	87.838	105.718	101.017	88.880	129.761	101.239	114.632	68.982	48.526	43.395	53.045	67.775
450140000	30.00	58.920	58.319	104.915	99.496	92.145	95.299	82.701	78.376	78.744	76.319	82.128	92.487	86.872	78.726	76.667	70.957	55.920	50.664	41.889	100.179	92.121	88.957	82.855	88.239	113.521	102.179	85.829	122.368	100.214	111.547	68.836	50.018	50.842	60.030	65.088
