DBG_2025.05.07_PM_F0_kin.TXTFluorCam7 Kinetics Export File
-----------------------------------
[us]	[?C]	B3	B2	B1	A3	A2	A1	C3	C2	C1	D3	D2	D1	C4	C5	C6	D4	D5	D6	B4	B5	B6	A4	A5	A6	E1	G4	H2	H3	G5	F5	E5	E6	F6	G6	F1	G1	G2	F2	E2	E3	F3	G3	H1	E4	F4	H4	H5	H6
20000	25.00	131.154	100.409	119.171	73.673	111.776	101.940	95.299	79.509	72.826	92.543	73.058	81.991	83.375	67.688	74.781	124.649	80.860	86.018	70.544	66.433	69.725	90.713	61.964	91.205	48.681	100.708	56.281	56.779	59.347	102.615	74.438	71.807	69.429	78.743	50.673	74.759	101.402	53.569	64.000	56.769	51.742	90.130	90.179	74.504	111.231	74.411	85.324	72.835
60000	25.00	131.556	99.357	118.675	65.736	108.509	106.906	90.043	85.776	72.504	91.983	63.192	74.241	80.821	61.688	75.728	126.289	83.070	87.321	70.754	61.125	63.679	82.591	61.063	91.188	46.202	88.830	50.177	47.058	49.084	101.829	67.688	67.550	67.741	82.478	51.106	74.147	103.496	51.245	64.694	55.583	41.817	87.539	84.295	81.209	110.120	70.738	84.056	62.299
100000	25.00	133.436	104.148	122.427	66.818	109.267	103.735	90.932	84.397	72.774	94.474	66.875	80.786	83.402	65.259	74.298	119.675	82.140	83.054	73.430	63.615	64.092	83.461	58.162	93.786	50.777	94.425	48.906	49.779	51.400	100.778	70.000	72.349	65.125	80.735	47.596	77.888	102.402	51.676	61.144	54.806	40.086	82.252	86.366	78.600	108.248	68.439	77.491	62.412
140000	25.00	134.111	96.052	122.145	69.300	108.845	105.641	88.940	81.147	78.391	89.095	69.279	79.196	79.420	58.652	77.860	122.860	84.132	82.723	66.947	56.942	65.917	85.904	55.414	94.107	45.521	94.245	54.312	47.240	60.032	96.556	66.268	69.523	64.911	81.398	46.413	73.517	104.547	49.549	57.865	51.833	37.570	86.043	83.616	73.948	105.077	73.589	80.398	65.196
180000	25.00	124.521	102.800	121.641	69.482	111.431	106.795	88.650	83.569	76.565	92.500	63.000	83.277	74.286	62.527	76.982	125.596	84.754	84.598	70.474	59.115	64.394	90.974	57.775	92.741	46.298	99.321	52.104	49.769	58.726	101.872	71.107	75.183	65.759	81.947	43.192	74.784	104.051	49.304	61.649	56.037	43.258	84.617	86.688	74.539	109.085	69.869	81.907	66.330
30020000	25.33	86.094	92.096	100.265	64.818	66.345	64.026	99.726	96.431	87.765	103.569	81.981	98.205	80.098	72.054	69.877	95.623	90.895	90.893	75.895	68.067	72.697	64.957	49.982	65.839	54.255	67.698	59.771	54.067	56.158	112.282	84.321	88.477	71.866	75.389	56.538	92.414	99.615	59.373	72.459	67.907	48.333	103.826	72.759	84.209	130.470	72.729	66.722	66.763
30060000	25.33	82.598	87.348	99.453	66.200	69.578	64.846	101.684	85.940	84.078	99.095	77.433	97.268	80.054	69.804	73.219	92.360	93.219	94.045	85.842	74.240	72.642	64.661	51.027	66.625	51.468	66.330	58.344	55.135	51.484	113.171	84.036	89.587	73.536	75.982	53.913	94.569	95.145	50.363	70.649	63.037	49.505	107.261	69.304	86.757	128.333	72.888	66.565	63.485
30100000	25.33	89.650	89.304	93.299	68.982	61.052	63.932	103.128	96.862	86.574	101.517	81.269	99.009	72.089	67.938	77.535	95.842	94.175	89.732	75.947	73.788	71.927	66.443	47.847	74.357	53.277	64.962	55.031	56.221	55.095	113.009	79.848	82.128	76.339	78.735	58.260	86.560	97.145	58.343	68.874	68.519	47.731	109.278	68.884	88.374	125.470	72.150	73.407	73.680
30140000	25.33	79.821	87.209	89.855	63.509	65.448	68.248	98.812	94.198	81.617	99.388	80.212	98.473	82.188	72.509	77.035	92.579	91.772	93.223	81.754	74.721	74.982	62.783	58.333	67.893	55.255	69.142	61.844	51.087	60.779	116.085	85.500	84.009	78.152	78.920	50.192	94.724	98.026	55.314	67.505	62.102	50.527	103.913	65.045	88.052	124.829	75.290	71.139	70.351
30180000	25.33	88.829	89.130	97.556	68.273	66.190	62.282	100.632	92.422	81.496	100.474	79.385	96.491	81.054	71.750	73.737	94.561	90.430	97.875	86.404	67.538	75.257	66.591	51.243	67.259	56.883	64.453	53.219	51.260	59.653	106.735	83.268	77.881	82.982	78.195	49.750	95.241	98.624	51.902	70.829	72.398	53.624	99.217	73.027	90.870	130.051	74.449	68.898	70.351
60020000	25.67	81.333	84.000	90.487	67.000	65.905	58.684	104.786	88.862	80.296	101.784	79.808	97.089	80.991	72.500	70.079	91.667	94.912	93.312	79.061	70.683	68.697	55.643	50.234	60.152	52.000	65.387	54.604	54.298	53.379	114.846	83.125	77.927	74.955	72.416	51.471	90.509	101.316	55.745	70.667	69.519	51.914	110.000	67.116	85.304	123.581	71.421	70.528	69.309
60060000	25.67	81.051	79.191	89.256	59.573	67.664	56.709	101.017	90.500	85.209	104.284	79.038	95.205	77.125	67.304	70.982	93.368	98.342	87.250	77.693	66.260	72.128	62.148	48.505	54.018	55.883	64.877	60.281	55.000	59.474	109.103	80.295	80.266	72.348	72.460	54.038	88.009	92.718	51.863	72.306	64.269	49.054	103.296	67.152	86.791	122.410	69.785	65.037	66.546
60100000	25.67	76.803	77.774	89.889	58.327	59.905	54.940	101.880	95.069	79.252	102.474	74.663	95.562	80.696	69.375	73.219	95.386	93.772	86.330	78.789	68.538	71.734	51.826	47.676	59.027	53.160	68.142	56.271	51.048	53.105	110.872	76.518	79.550	76.214	79.327	49.115	87.466	95.940	54.441	70.550	65.759	48.753	105.974	66.321	86.348	125.940	74.972	70.296	66.876
60140000	25.67	77.872	80.678	89.368	64.218	59.914	50.419	99.137	92.716	81.539	95.940	77.346	87.277	82.438	71.679	77.193	90.193	90.658	84.786	81.772	67.481	69.505	58.878	48.243	60.232	49.138	65.755	59.885	54.365	55.579	113.769	78.946	81.330	73.455	76.027	50.442	86.448	98.179	53.559	68.685	65.593	47.258	99.609	66.527	90.696	122.966	72.093	67.685	66.103
60180000	25.67	81.188	81.922	90.590	66.827	60.957	57.889	103.923	90.767	80.113	100.888	81.029	96.330	77.938	71.205	71.623	95.614	88.307	89.991	78.930	68.990	69.312	56.817	44.910	57.616	56.394	68.604	63.177	51.827	61.263	105.453	78.116	78.440	74.446	77.885	53.154	88.819	101.718	54.922	73.126	69.139	53.538	105.330	68.009	88.652	121.368	69.710	68.065	68.175
90020000	26.02	81.248	81.000	94.077	64.345	55.862	59.940	98.658	90.750	81.443	91.784	76.433	96.071	77.295	73.116	70.737	94.877	97.439	90.661	83.000	68.308	69.587	55.409	50.360	60.607	54.287	67.811	56.198	52.221	54.116	114.222	80.304	84.431	76.964	72.062	55.837	90.724	95.701	54.902	69.099	68.935	47.925	103.965	70.545	91.878	126.487	66.561	65.935	67.938
90060000	26.02	79.957	82.174	89.650	63.382	61.043	56.556	98.991	90.595	81.243	98.491	76.990	95.893	78.143	71.679	69.825	93.746	90.991	85.054	75.553	68.038	71.991	52.009	47.766	57.670	59.723	67.396	58.938	51.442	54.400	106.726	84.929	79.275	73.554	73.327	50.529	87.052	98.504	59.284	75.180	66.796	49.344	108.626	66.179	91.200	117.983	68.402	68.046	69.299
90100000	26.02	82.735	80.235	85.598	64.445	59.241	56.915	98.453	90.552	78.878	101.905	76.404	88.679	76.080	75.188	70.719	91.009	91.377	85.857	78.474	70.663	72.303	55.661	45.486	61.089	45.979	65.528	54.938	57.250	57.674	111.248	85.223	80.532	75.054	79.301	53.519	86.534	89.897	55.941	64.937	63.519	49.935	104.991	63.982	92.243	127.359	72.318	66.019	69.330
90140000	26.02	78.248	79.417	86.205	66.164	59.888	57.205	95.889	91.767	77.765	98.164	73.962	89.384	79.339	72.545	73.281	91.632	91.342	85.259	78.333	66.481	67.596	55.330	44.432	54.688	55.681	67.660	56.823	51.779	59.516	114.291	83.938	77.697	77.652	73.434	51.337	88.698	94.615	56.461	71.171	69.185	50.366	99.339	70.143	90.826	121.521	70.710	66.324	68.113
90180000	26.02	75.795	76.817	85.239	60.927	58.828	54.436	95.120	96.284	82.626	100.733	76.115	92.777	75.884	67.295	73.018	91.246	87.509	90.286	81.640	68.635	71.202	56.374	43.622	57.232	50.734	62.377	58.531	53.827	52.874	103.496	78.295	75.945	74.482	71.460	49.894	91.681	93.239	59.451	65.919	66.796	48.151	100.148	67.518	88.200	122.778	67.766	65.500	66.845
120020000	26.35	76.197	76.296	87.863	64.027	58.026	58.949	98.513	88.655	79.426	102.793	73.904	91.098	78.991	68.223	78.579	93.219	92.518	86.848	83.044	70.971	67.064	52.591	43.351	56.179	53.809	69.453	61.552	54.827	62.768	113.564	81.036	78.055	74.812	71.885	54.048	92.509	96.718	55.892	65.982	65.852	51.688	102.313	67.000	89.791	124.231	72.206	65.120	67.959
120060000	26.35	82.120	75.817	84.504	62.991	59.198	57.444	95.632	89.216	77.870	97.974	77.548	91.455	80.277	71.375	75.105	90.930	92.623	93.205	74.544	68.846	71.835	53.635	50.027	59.348	51.043	64.094	60.990	49.606	58.305	110.983	80.634	83.367	74.938	75.593	52.423	93.190	100.991	54.451	73.991	64.194	53.634	105.826	64.268	91.339	120.983	70.374	64.657	65.227
120100000	26.35	74.923	77.443	83.983	62.936	57.543	53.436	97.769	88.509	78.417	95.069	71.288	94.812	79.009	71.214	74.044	90.105	88.833	86.036	76.096	64.635	72.927	53.339	44.703	57.446	49.436	65.698	57.479	49.250	56.347	112.504	76.161	80.679	70.161	72.735	53.798	90.267	98.000	54.245	70.514	66.843	48.118	102.087	61.045	89.043	120.590	71.701	67.657	69.299
120140000	26.35	72.385	78.252	87.470	62.300	57.836	55.368	96.368	87.655	76.983	96.966	74.760	92.670	77.804	72.250	73.456	88.570	87.877	92.527	80.640	69.567	75.229	61.983	49.306	63.295	48.766	66.802	57.156	52.250	57.463	111.915	80.223	81.954	72.518	76.381	55.798	84.129	96.085	57.931	67.694	67.120	44.204	102.887	65.545	81.443	118.940	73.963	69.454	68.814
120180000	26.35	74.085	77.409	87.692	61.336	62.991	53.650	96.581	90.198	79.270	96.483	81.077	93.634	75.420	70.973	73.211	88.737	96.070	98.259	77.395	66.356	70.312	52.748	50.234	57.250	54.138	65.151	58.083	55.298	56.042	111.513	80.054	81.128	77.054	74.283	50.135	90.672	98.547	60.510	73.973	60.148	50.473	104.113	69.714	87.617	121.128	66.112	65.009	61.402
150020000	26.69	74.043	77.548	90.923	59.127	57.310	56.829	92.744	89.336	80.374	95.034	72.663	92.902	78.759	74.304	76.781	87.105	92.807	91.134	83.456	69.962	70.468	55.835	45.189	61.500	52.362	69.915	53.740	49.596	55.558	115.402	76.679	83.229	70.946	71.044	46.596	94.371	94.863	52.520	70.063	65.065	48.570	103.113	66.750	87.539	125.462	78.065	70.417	68.062
150060000	26.69	76.530	80.391	83.889	60.009	58.888	50.291	97.974	92.405	79.548	101.543	75.606	94.438	73.830	72.134	74.658	89.807	94.412	89.670	75.009	66.904	67.404	55.600	43.838	59.134	50.468	61.736	55.958	51.606	53.800	109.282	81.196	76.550	68.500	75.319	52.769	93.474	95.735	55.922	64.766	65.648	49.763	106.461	67.089	83.965	119.453	69.673	64.972	64.907
150100000	26.70	73.889	75.026	92.838	61.745	57.207	55.128	99.368	90.931	79.652	95.466	76.981	91.054	74.607	69.188	71.614	88.184	88.553	87.393	76.246	68.510	67.147	55.565	44.766	51.384	54.489	62.774	53.802	49.644	54.137	109.094	76.518	81.872	69.750	67.894	52.260	93.931	98.427	53.039	70.577	62.074	48.032	106.696	67.759	87.817	122.368	66.991	69.509	69.629
150140000	26.70	75.803	80.409	79.222	61.927	57.069	54.556	98.239	91.336	77.400	91.362	72.567	93.964	72.857	71.098	67.649	89.561	88.561	85.964	77.939	70.788	66.000	53.765	50.631	52.348	48.628	60.311	59.833	51.279	51.263	108.667	78.812	75.826	70.536	71.080	54.625	87.983	95.658	50.961	65.315	65.833	48.581	103.070	68.580	84.139	117.991	64.664	62.898	69.814
150180000	26.70	78.274	80.609	86.983	62.355	58.638	56.632	94.402	88.612	81.252	92.595	70.798	92.938	75.330	68.205	77.816	85.342	89.421	87.116	77.412	64.115	66.991	53.974	49.405	53.366	51.553	66.038	57.135	47.452	49.305	107.615	75.420	81.670	74.429	73.425	48.558	92.440	96.641	55.118	68.225	65.741	49.075	97.843	68.152	83.913	114.137	67.402	65.111	66.299
180020000	27.04	74.949	79.200	84.880	60.100	56.724	55.915	96.684	90.181	77.417	98.655	74.538	91.438	73.098	71.116	75.807	92.895	90.079	90.116	83.746	66.663	71.330	55.504	37.901	56.089	49.681	67.085	56.740	50.788	54.211	111.265	78.214	80.083	71.821	75.009	54.635	90.759	99.624	54.088	67.261	63.731	46.054	105.896	69.670	87.252	122.427	68.692	63.565	66.876
180060000	27.04	74.598	75.739	83.103	65.482	59.121	54.171	91.778	91.017	79.322	96.414	74.683	91.866	73.080	68.188	69.544	89.114	93.781	90.438	77.167	68.904	67.092	54.226	45.027	59.366	44.000	67.726	60.427	46.865	53.400	113.342	77.714	81.651	69.214	73.894	51.471	89.948	98.607	51.039	71.775	63.037	44.419	103.696	66.598	87.948	117.863	69.308	67.657	64.845
180100000	27.04	72.410	74.261	82.120	58.282	53.698	52.436	97.205	86.138	75.661	97.405	76.615	84.170	81.795	65.759	71.842	87.518	85.325	91.911	80.272	64.413	67.835	49.409	45.270	58.009	49.106	67.434	53.688	49.202	51.905	108.068	76.161	79.908	73.964	75.664	47.433	87.431	95.735	51.127	63.874	63.509	48.505	103.835	66.455	90.070	116.966	67.299	63.481	64.052
180140000	27.04	75.222	83.209	84.752	62.518	58.776	54.803	95.812	93.509	77.426	96.078	76.721	89.938	77.911	65.089	67.658	91.404	87.667	81.938	74.702	66.490	73.239	53.357	44.396	56.821	54.468	65.009	59.802	58.750	53.811	110.667	83.509	72.881	74.286	71.469	50.663	88.259	98.402	57.804	68.108	68.130	53.871	107.026	66.482	78.939	116.120	73.477	70.343	69.845
180180000	27.04	71.427	80.983	86.000	60.564	53.078	52.376	95.265	85.819	75.165	94.310	77.769	90.741	75.536	69.545	70.763	84.088	90.702	91.259	74.439	69.673	67.761	50.443	39.739	52.670	49.872	69.434	57.750	48.894	53.663	110.709	76.098	79.862	69.571	72.549	54.923	92.086	96.650	54.167	70.892	67.806	49.011	99.226	65.232	86.113	121.120	69.935	70.630	64.021
210020000	27.37	74.547	74.052	83.615	60.527	60.060	54.684	94.513	89.129	78.583	99.034	69.846	92.920	78.062	73.250	75.605	88.912	86.719	89.205	75.947	65.231	67.183	54.887	46.252	57.036	51.713	63.217	55.104	47.567	55.074	112.624	76.134	78.917	71.518	74.991	52.212	94.431	95.769	56.461	71.171	68.407	47.688	103.635	70.000	88.122	118.453	64.121	61.685	68.412
210060000	27.37	74.504	77.600	85.761	58.782	56.862	58.248	94.111	86.698	77.983	97.974	77.240	89.768	75.268	67.714	75.825	90.421	91.851	89.812	78.684	66.067	69.826	48.296	44.360	59.929	49.074	64.245	58.948	52.221	58.853	112.239	75.134	79.266	70.312	66.779	50.702	91.362	95.966	58.922	69.595	65.546	47.419	101.809	65.607	90.383	120.359	73.093	69.593	69.557
210100000	27.37	72.009	80.487	83.735	58.745	62.164	53.265	97.009	89.819	78.930	94.534	77.019	90.964	76.321	71.232	72.053	89.482	88.833	91.741	78.088	70.212	70.560	55.661	45.649	56.723	46.628	60.236	54.312	52.904	52.979	113.214	83.723	77.330	75.304	71.044	47.798	90.034	99.000	54.627	73.676	67.361	49.452	102.574	67.277	87.122	119.795	71.439	69.880	66.918
210140000	27.38	74.829	73.730	84.197	62.736	56.922	59.453	88.675	93.043	82.957	93.793	75.413	92.723	76.562	68.429	68.754	88.518	89.737	87.259	73.377	65.798	65.257	50.730	44.486	52.089	51.585	67.038	52.354	48.298	56.716	104.752	75.911	74.294	71.688	73.336	51.029	88.578	98.145	53.931	66.631	60.296	46.290	104.800	70.884	81.643	117.564	65.607	61.685	69.691
210180000	27.38	70.077	74.600	82.171	58.918	58.302	48.744	95.538	88.241	79.600	91.603	77.000	92.688	77.357	67.080	74.202	88.412	84.991	92.009	78.491	62.442	68.991	50.191	44.036	59.107	52.872	63.830	56.094	51.288	59.811	107.154	79.107	73.367	74.393	72.965	50.904	91.836	95.316	56.735	66.144	66.009	48.495	106.200	67.607	83.470	118.265	68.813	66.463	65.784
240020000	27.71	78.068	77.122	82.761	63.791	55.284	52.983	94.342	91.888	80.461	96.379	68.404	87.562	69.589	70.839	71.684	92.281	89.272	89.464	82.289	68.269	71.156	54.687	45.261	57.812	51.149	64.491	58.427	48.596	56.505	112.111	78.446	82.807	73.714	78.673	53.654	87.216	99.427	51.176	67.622	63.037	52.796	104.904	67.062	84.696	121.171	69.187	68.907	70.485
240060000	27.71	73.786	77.174	77.444	63.091	58.009	56.376	96.316	91.974	76.635	92.043	74.962	86.616	76.062	65.438	69.246	88.193	84.018	92.134	75.904	64.923	68.064	55.609	39.126	56.348	52.309	65.736	59.240	44.769	55.726	111.632	76.268	78.220	72.652	76.823	52.317	86.957	95.513	61.529	69.946	63.278	49.237	105.870	70.696	86.817	121.239	66.617	67.685	63.186
240100000	27.71	73.838	74.243	81.521	63.082	59.724	53.103	93.496	88.500	75.070	96.914	76.308	89.438	76.920	70.152	70.816	86.825	90.193	89.446	75.772	69.192	68.101	52.878	43.604	53.964	54.032	64.811	59.260	50.798	57.063	106.684	72.652	79.972	66.982	73.212	55.058	92.853	100.726	54.971	70.153	64.704	44.054	102.713	70.393	86.557	122.795	69.617	69.611	63.866
240140000	27.71	71.111	80.174	80.171	58.618	55.897	59.701	95.051	88.957	80.809	91.233	70.683	90.732	74.607	68.929	70.965	91.518	85.474	90.616	73.614	67.654	71.110	52.600	42.450	56.571	50.809	64.274	59.760	46.327	54.421	108.393	78.652	73.780	70.134	68.124	54.538	92.655	95.556	51.500	68.144	60.509	45.108	106.748	68.616	82.548	117.274	68.598	62.731	67.773
240180000	27.71	75.154	74.513	80.632	58.464	59.207	51.402	93.043	89.879	77.009	91.681	71.817	85.920	74.830	70.911	75.605	89.596	92.991	90.438	75.754	67.644	68.661	51.278	42.829	50.857	43.691	62.811	57.656	49.163	56.389	113.333	74.196	79.404	70.580	74.690	57.231	86.112	91.658	49.343	66.225	63.870	47.484	96.313	68.857	85.374	116.145	74.495	61.898	65.278
270020000	28.05	75.598	77.357	89.085	58.664	57.948	53.470	89.479	92.138	80.487	95.181	74.308	89.607	75.705	72.116	67.632	88.053	90.588	85.330	79.167	68.567	71.835	52.130	49.838	56.018	49.734	64.245	55.115	50.327	60.979	114.120	82.821	77.780	74.375	67.655	52.404	90.724	99.496	57.882	67.297	64.509	51.785	104.383	64.938	86.878	118.111	70.449	66.722	67.979
270060000	28.05	73.274	74.235	80.897	65.891	60.155	53.325	96.274	92.052	79.217	95.483	74.250	92.830	72.009	65.554	69.746	87.930	89.412	91.384	78.096	63.962	69.165	52.722	42.198	55.366	48.660	63.774	57.500	50.269	55.347	108.051	73.205	76.165	68.562	74.372	49.904	87.664	95.658	56.657	67.523	65.185	47.882	107.148	65.018	85.974	120.265	70.907	62.602	65.505
270100000	28.05	81.880	71.983	80.128	63.591	57.328	53.932	94.504	86.328	81.870	91.009	74.846	91.938	75.562	72.946	71.079	85.632	91.307	91.982	75.298	66.462	70.000	50.783	45.910	53.634	50.830	63.085	60.594	52.519	52.389	112.342	84.562	80.872	75.804	73.770	50.163	90.828	96.248	58.824	69.613	67.333	53.570	103.757	65.580	85.209	120.521	70.738	65.370	65.722
270140000	28.05	78.684	75.217	79.991	62.600	54.078	48.889	97.239	88.086	77.348	94.776	74.913	84.536	76.857	69.625	71.807	88.947	88.816	91.964	75.675	68.106	69.569	49.270	47.694	56.545	47.926	65.264	54.969	47.413	56.674	114.111	81.920	75.569	72.259	72.531	48.942	84.207	97.855	55.892	68.757	61.324	51.419	104.374	65.188	83.261	115.991	74.607	62.019	63.722
270180000	28.05	72.282	76.539	81.590	57.009	56.664	51.009	88.957	90.233	77.565	95.810	74.317	87.071	72.625	67.357	74.947	87.298	88.105	92.866	75.325	63.731	67.156	49.739	39.946	52.821	52.745	63.085	61.156	53.817	55.663	105.419	80.125	75.477	68.982	73.407	48.490	88.845	93.179	55.627	65.054	66.083	49.785	97.400	69.161	82.887	113.368	66.542	65.093	67.845
300020000	28.39	75.744	81.765	85.906	62.600	52.043	53.897	93.060	91.353	79.913	88.302	76.529	85.232	71.107	69.804	70.167	88.105	89.965	87.045	76.737	69.712	69.798	52.157	42.793	52.464	48.266	67.745	56.323	48.779	53.674	114.479	80.170	76.459	71.464	72.681	49.452	88.698	91.906	52.471	63.054	63.120	46.161	102.643	67.080	81.313	110.017	69.551	63.657	67.742
300060000	28.39	76.325	76.678	78.479	58.800	59.767	59.761	91.701	92.457	79.296	93.379	77.904	91.393	74.830	71.045	75.070	86.877	84.421	92.875	73.649	66.433	67.688	52.035	45.198	51.982	52.638	62.604	62.312	50.692	46.884	110.419	77.929	79.615	73.830	73.912	53.183	95.474	93.291	53.922	65.126	66.870	48.860	102.365	66.643	85.504	113.453	70.505	65.361	67.124
300100000	28.39	68.778	78.035	83.385	58.127	59.810	54.060	93.282	95.241	76.217	90.603	75.990	89.652	71.286	69.321	71.325	87.526	83.939	89.580	73.360	66.913	64.936	51.061	42.811	55.393	51.702	62.491	56.469	51.615	56.158	111.462	75.321	79.872	77.804	72.823	47.231	89.819	100.060	56.990	70.486	65.907	47.957	103.096	67.304	76.365	118.487	66.907	61.556	65.443
300140000	28.39	80.573	79.861	81.718	61.055	60.362	54.179	92.068	87.836	82.443	96.526	71.654	90.384	68.562	68.598	67.193	87.053	85.965	89.607	74.377	67.471	67.128	58.009	43.108	56.161	53.691	67.047	54.104	49.808	56.263	104.214	78.152	72.679	71.223	74.575	51.288	88.466	94.402	53.559	63.054	62.676	52.989	99.078	64.536	81.139	115.316	72.037	62.657	64.897
300180000	28.39	72.897	73.400	84.248	60.173	58.897	52.718	91.530	88.414	79.800	90.741	75.481	88.402	74.812	65.214	72.544	84.035	86.509	91.554	76.254	67.981	68.982	47.817	43.910	57.580	47.447	68.896	59.031	49.260	52.916	108.983	79.071	77.716	73.134	73.699	48.952	91.905	94.513	52.637	63.243	67.509	50.151	103.922	66.536	84.200	117.957	69.757	60.056	68.309
330020000	28.72	76.573	76.278	79.624	64.255	59.414	55.701	91.256	91.422	80.183	92.560	74.923	89.134	74.295	73.205	72.439	89.289	86.272	89.625	82.939	61.865	66.550	52.661	41.396	55.884	50.819	65.340	53.292	47.144	53.116	112.795	77.759	79.624	74.062	76.230	52.692	90.138	100.179	52.647	68.550	67.407	49.065	107.583	64.321	85.461	117.137	71.234	67.407	69.804
330060000	28.72	76.718	77.504	84.085	61.155	58.086	50.598	93.274	91.560	78.522	89.052	80.817	90.161	74.518	67.732	67.061	84.123	92.684	88.402	74.877	66.558	64.294	49.304	44.450	56.241	49.372	60.226	56.542	50.087	58.779	112.188	81.125	80.358	74.420	69.867	48.875	89.638	95.940	57.441	67.351	68.880	50.731	100.096	64.402	81.722	114.274	67.841	62.954	65.330
330100000	28.72	74.906	75.591	79.966	60.273	57.259	55.137	95.359	84.750	80.217	97.543	73.356	90.902	76.527	64.384	66.956	92.167	83.105	91.714	78.263	65.558	69.422	54.287	43.595	50.955	47.106	64.170	58.438	50.760	58.589	110.632	76.402	77.229	72.045	72.575	55.577	91.491	91.872	56.863	66.315	61.991	43.129	108.104	62.741	85.000	110.846	68.308	65.120	66.680
330140000	28.72	76.462	79.122	79.821	60.155	54.500	57.222	92.590	88.983	81.835	95.569	73.442	91.330	72.607	68.330	66.035	81.325	83.886	83.420	78.307	60.692	67.092	51.635	46.577	55.491	48.830	60.594	61.167	45.865	51.274	107.393	78.429	75.917	73.643	76.549	48.721	88.526	96.171	52.422	67.360	65.741	45.688	103.930	64.107	84.217	114.385	69.738	64.120	68.309
330180000	28.72	74.068	77.800	80.991	58.200	58.595	56.803	93.154	87.086	75.687	94.233	78.000	91.107	74.062	66.107	68.982	86.605	86.474	87.500	76.061	61.692	66.202	54.374	43.153	53.973	46.766	67.670	58.323	48.548	56.063	108.299	75.536	82.266	70.036	73.336	48.721	90.879	95.701	57.186	68.279	61.593	51.344	103.609	66.938	85.104	116.342	67.495	63.907	63.464
360020000	29.05	70.427	77.330	83.034	59.273	57.638	57.872	93.299	90.586	83.783	92.431	71.750	93.312	72.723	67.179	72.193	90.333	88.711	89.116	79.842	64.942	70.633	52.652	44.414	57.134	50.606	65.698	60.854	45.202	57.042	111.214	75.991	78.908	74.295	71.708	56.606	91.017	97.145	49.245	63.820	60.963	46.935	104.278	68.295	81.235	117.949	72.850	62.759	61.588
360060000	29.05	75.154	76.704	78.932	55.691	53.457	57.872	93.299	87.534	77.270	92.655	72.615	94.366	69.268	70.429	67.061	87.202	85.132	88.812	73.781	68.125	69.394	51.887	40.793	51.321	47.447	62.208	54.958	53.615	49.516	108.872	80.277	78.807	75.223	71.009	54.240	89.733	92.308	52.245	65.694	64.519	49.473	101.165	70.804	88.157	113.966	73.617	63.519	61.990
360100000	29.05	76.556	75.565	79.667	61.191	53.733	55.120	96.205	89.560	76.565	88.647	71.000	89.723	74.134	70.911	68.605	78.482	84.184	90.580	72.605	67.173	64.303	54.774	43.396	52.259	46.968	60.604	56.344	54.442	53.926	108.291	75.946	74.119	69.545	68.460	53.163	90.914	91.162	53.814	68.288	57.972	50.720	105.974	62.134	80.504	111.769	68.963	64.352	65.278
360140000	29.05	75.957	75.487	81.009	61.364	57.922	58.034	88.179	91.759	84.565	88.310	74.154	91.795	75.348	68.455	70.965	86.667	83.623	90.429	76.842	66.606	68.771	48.870	44.270	53.661	50.362	69.151	56.125	48.375	55.611	112.462	80.866	74.376	73.000	74.345	54.019	88.284	97.496	54.725	63.459	67.046	51.753	103.617	66.688	79.948	112.359	69.215	67.694	66.907
360180000	29.05	75.179	78.122	80.248	61.182	56.474	52.923	92.940	92.052	81.365	84.172	83.365	88.188	71.911	62.580	72.404	84.061	83.316	88.652	76.746	65.298	71.606	53.365	44.468	52.768	50.245	63.613	57.927	51.913	55.789	112.889	74.500	77.358	74.036	71.628	52.067	87.345	94.256	54.824	65.144	62.083	49.968	105.087	64.080	82.243	113.513	71.636	64.833	64.155
390020000	29.40	74.479	78.696	80.897	61.627	57.638	54.607	93.521	89.517	77.522	88.991	76.923	86.741	75.339	73.661	69.737	90.219	85.184	90.732	80.482	70.471	69.413	51.348	45.748	52.161	50.702	69.274	63.865	51.154	54.663	112.265	77.179	76.092	72.179	74.708	53.769	87.216	97.496	52.137	66.856	67.565	47.828	106.435	67.080	88.504	119.829	67.028	61.898	61.196
390060000	29.40	73.718	70.800	79.393	58.455	55.026	55.393	96.607	88.448	79.261	89.483	76.375	89.000	73.580	69.107	70.307	82.763	85.412	88.723	78.798	62.846	67.917	56.478	41.495	51.732	51.255	67.642	57.219	53.606	56.347	108.325	81.509	80.064	71.188	74.947	52.087	92.741	98.094	52.755	64.676	58.019	50.882	107.157	65.500	79.183	116.000	67.570	63.019	62.866
390100000	29.40	76.581	75.791	76.650	64.682	56.672	58.564	97.641	91.922	76.478	93.655	76.010	90.339	73.241	68.330	70.053	91.351	90.035	87.589	75.404	68.327	71.119	53.096	42.423	45.080	48.979	60.208	61.958	49.952	55.021	114.120	78.188	80.312	77.009	74.150	49.788	88.474	93.957	57.618	67.495	66.472	49.301	108.035	64.625	83.557	116.564	67.131	62.722	67.423
390140000	29.40	73.624	77.557	79.624	59.173	58.569	51.120	88.744	88.543	75.191	91.940	78.067	86.732	74.018	68.554	67.728	87.096	88.211	86.134	81.219	66.288	66.633	53.104	42.486	50.955	50.883	66.604	61.219	52.625	53.979	107.325	77.946	79.376	74.071	71.336	54.221	87.586	93.632	55.686	61.910	61.611	47.301	104.704	65.688	87.913	112.111	69.495	63.083	65.959
